City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,college,64.8569,-147.8028,293.33,79,100,5.14,US,1722026507
84,maintirano,-18.0667,44.0167,295.42,72,0,5.2,MG,1722026753
85,tera,14.0078,0.7531,302.91,59,68,3.51,NE,1722026755
86,longyearbyen,78.2186,15.6401,283.06,81,75,1.03,SJ,1722026757
87,punta arenas,-53.15,-70.9167,276.16,87,75,12.86,CL,1722026758
88,kalmunai,7.4167,81.8167,301.56,66,100,1.3,LK,1722026760
89,smithers,54.7804,-127.1743,289.33,72,100,4.63,CA,1722026761
90,la passe,45.5549,-0.8967,296.28,93,100,3.41,FR,1722026763
91,merizo village,13.2658,144.6691,298.7,95,99,2.57,GU,1722026765
92,roghun,38.7826,69.8708,296.32,40,0,1.53,TJ,1722026766
93,atafu village,-8.5421,-172.5159,301.0,68,76,1.02,TK,1722026768
94,sampang,-7.1872,113.2394,298.81,78,9,5.52,ID,1722026770
95,rongelap,11.1635,166.8941,301.33,79,64,8.32,MH,1722026771
96,mount pearl,47.5166,-52.7813,291.11,92,75,4.12,CA,1722026773
97,lerwick,60.1545,-1.1494,286.15,86,42,5.89,GB,1722026774
98,rajkot,22.3,70.7833,299.8,86,100,7.46,IN,1722026776
99,valparaiso,-33.0393,-71.6273,288.28,68,0,7.72,CL,1722026778
100,nikolayevsk-on-amure,53.1406,140.73,293.19,80,31,1.66,RU,1722026779
101,papatowai,-46.5619,169.4708,283.96,89,100,0.79,NZ,1722026781
102,tommot,58.9564,126.2925,294.39,76,1,1.04,RU,1722026783
103,al ghayzah,16.2079,52.176,298.83,90,100,5.56,YE,1722026784
104,howrah,22.5892,88.3103,302.15,89,40,2.57,IN,1722026786
105,villa huidobro,-34.8383,-64.5869,289.29,40,35,2.92,AR,1722026788
106,lebu,-37.6167,-73.65,282.26,62,5,5.47,CL,1722026789
107,kill devil hills,36.0307,-75.676,300.15,83,75,3.6,US,1722026687
108,avon,41.4517,-82.0354,300.1,60,20,6.17,US,1722026792
109,lowestoft,52.4752,1.7516,291.61,72,100,2.1,GB,1722026794
110,northam,51.0333,-4.2167,287.93,87,0,2.94,GB,1722026796
111,sao felix do xingu,-6.6447,-51.995,304.26,27,68,1.43,BR,1722026799
112,jinsha,32.0898,121.0735,302.04,60,100,10.51,CN,1722026800
113,saipan,15.1355,145.701,300.94,76,94,1.97,MP,1722026802
114,ayancik,41.9447,34.5861,294.71,88,100,3.97,TR,1722026804
115,burlington,39.8835,-74.6413,302.56,47,0,2.57,US,1722026805
116,norilsk,69.3535,88.2027,288.63,86,6,2.47,RU,1722026807
117,wynyard,-41.0,145.7167,279.92,95,100,1.29,AU,1722026809
118,champerico,14.3,-91.9167,308.45,68,100,2.86,GT,1722026810
119,whitehorse,60.7161,-135.0538,292.09,63,20,6.69,CA,1722026812
120,georgetown,5.4112,100.3354,302.11,78,20,1.03,MY,1722026813
121,inhambane,-23.865,35.3833,293.32,79,0,4.28,MZ,1722026815
122,talnakh,69.4865,88.3972,288.3,84,9,3.08,RU,1722026817
123,trincomalee,8.5711,81.2335,301.56,76,100,8.77,LK,1722026818
124,haiku-pauwela,20.9219,-156.3051,300.51,70,20,7.72,US,1722026820
125,margate,51.3813,1.3862,290.2,72,43,5.47,GB,1722026822
